Uuid,Void/Retire,Mappings|SAME-AS|EIS-820,Fully specified name:es,Fully specified name:en,Short name:es,Description:es,Data class,Data type,Answers,Members,_version:1,_order:1150
6f658f26-2d1f-5184-9ed6-aa64eda25b5c,,ISO3166-1-192,País ISO 3166-1 192 - CUBA,País ISO 3166-1 192 - CUBA,CUBA,Código numérico 192 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
4ee2c9b3-b141-549b-960e-16170fd3bb62,,ISO3166-1-196,País ISO 3166-1 196 - CHIPRE,País ISO 3166-1 196 - CHIPRE,CHIPRE,Código numérico 196 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
6427eaaf-401f-5852-8f41-b58020e6f97e,,ISO3166-1-203,País ISO 3166-1 203 - REPÚBLICA CHECA,País ISO 3166-1 203 - REPÚBLICA CHECA,REPÚBLICA CHECA,Código numérico 203 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
edcaa33f-e42f-551c-9eb5-2c0fabee4450,,ISO3166-1-204,País ISO 3166-1 204 - BENIN,País ISO 3166-1 204 - BENIN,BENIN,Código numérico 204 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
51006125-185c-533d-87a8-5497885e2aea,,ISO3166-1-208,País ISO 3166-1 208 - DINAMARCA,País ISO 3166-1 208 - DINAMARCA,DINAMARCA,Código numérico 208 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
3b3adedd-b124-5811-a71a-c83ad691cff6,,ISO3166-1-212,País ISO 3166-1 212 - DOMÍNICA,País ISO 3166-1 212 - DOMÍNICA,DOMÍNICA,Código numérico 212 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
c428e313-0030-5574-a4ca-220a318c4968,,ISO3166-1-214,País ISO 3166-1 214 - REPÚBLICA DOMINICANA,País ISO 3166-1 214 - REPÚBLICA DOMINICANA,REPÚBLICA DOMINICANA,Código numérico 214 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
52425ea4-a511-55f7-8282-4da66ea9e836,,ISO3166-1-218,País ISO 3166-1 218 - ECUADOR,País ISO 3166-1 218 - ECUADOR,ECUADOR,Código numérico 218 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
5825c0bc-c527-53f0-a7ec-602cc0e53a15,,ISO3166-1-222,País ISO 3166-1 222 - EL SALVADOR,País ISO 3166-1 222 - EL SALVADOR,EL SALVADOR,Código numérico 222 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
d6fd916e-ba15-5cf7-a087-7053062f5c47,,ISO3166-1-226,País ISO 3166-1 226 - GUINEA ECUATORIAL,País ISO 3166-1 226 - GUINEA ECUATORIAL,GUINEA ECUATORIAL,Código numérico 226 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
95cfcbb1-6a0f-5bf2-b10c-d2f2b0251d18,,ISO3166-1-231,País ISO 3166-1 231 - ETIOPÍA,País ISO 3166-1 231 - ETIOPÍA,ETIOPÍA,Código numérico 231 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
f34ad8fe-ddd5-5ca1-87a7-160c6799c846,,ISO3166-1-232,País ISO 3166-1 232 - ERITREA,País ISO 3166-1 232 - ERITREA,ERITREA,Código numérico 232 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
6d4b1327-d908-5166-ab82-d6a29880199b,,ISO3166-1-233,País ISO 3166-1 233 - ESTONIA,País ISO 3166-1 233 - ESTONIA,ESTONIA,Código numérico 233 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
60e4a47d-4d59-5ceb-b7ef-02856599f5f3,,ISO3166-1-234,País ISO 3166-1 234 - ISLAS FAROE,País ISO 3166-1 234 - ISLAS FAROE,ISLAS FAROE,Código numérico 234 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
